Symbol, Moving Average, Total Volume, Creation Time
AMZN, 187.548, 1963, 1727690876622
AMZN, 187.553, 1933, 1727690936622
AMZN, 187.565, 1991, 1727690996625
AMZN, 187.579, 2003, 1727691056622
AMZN, 187.582, 2001, 1727691116625
AMZN, 187.610, 1289, 1727691176623
AMZN, 187.633, 1063, 1727691236622
AMZN, 187.637, 1066, 1727691296622
AMZN, 187.639, 1065, 1727691356622
AMZN, 187.661, 1087, 1727691416623
AMZN, 187.699, 1023, 1727691476622
AMZN, 187.701, 979, 1727691536625
AMZN, 187.706, 1119, 1727691596622
AMZN, 187.708, 1034, 1727691656622
AMZN, 187.708, 1029, 1727691716622
AMZN, 187.715, 1030, 1727691776622
AMZN, 187.716, 1044, 1727691836624
AMZN, 187.710, 1888, 1727691896623
AMZN, 187.724, 1924, 1727691956622
AMZN, 187.605, 7118, 1727692016622
AMZN, 187.604, 10020, 1727692076622
AMZN, 187.604, 10020, 1727692136622
AMZN, 187.602, 10042, 1727692196622
AMZN, 187.598, 10213, 1727692256622
AMZN, 187.589, 10217, 1727692316626
AMZN, 187.577, 10128, 1727692376622
AMZN, 187.570, 10489, 1727692436622
AMZN, 187.563, 10337, 1727692496622
AMZN, 187.541, 11259, 1727692556622
AMZN, 187.539, 11490, 1727692616622
AMZN, 187.536, 11488, 1727692676622
AMZN, 187.529, 11492, 1727692736622
AMZN, 187.517, 10487, 1727692796626
AMZN, 187.504, 10434, 1727692856626
AMZN, 187.481, 5241, 1727692916622
AMZN, 187.427, 1929, 1727692976622
AMZN, 187.427, 2131, 1727693036622
AMZN, 187.434, 2317, 1727693096622
AMZN, 187.433, 2149, 1727693156622
AMZN, 187.429, 2115, 1727693216622
AMZN, 187.426, 2088, 1727693276622
AMZN, 187.419, 1831, 1727693336622
AMZN, 187.424, 1878, 1727693396622
AMZN, 187.452, 1030, 1727693456622
AMZN, 187.446, 868, 1727693516622
AMZN, 187.445, 1289, 1727693576622
AMZN, 187.455, 1272, 1727693636622
AMZN, 187.458, 1268, 1727693696622
AMZN, 187.457, 1168, 1727693756622
AMZN, 187.455, 2210, 1727693816622
AMZN, 187.460, 2208, 1727693876622
AMZN, 187.462, 4107, 1727693936622
AMZN, 187.473, 4137, 1727693996622
AMZN, 187.557, 6528, 1727694056622
AMZN, 187.589, 19984, 1727694116622
AMZN, 187.643, 22121, 1727694176622
AMZN, 187.657, 23431, 1727694236622
AMZN, 187.668, 24122, 1727694296622
AMZN, 187.678, 24617, 1727694356622
AMZN, 187.694, 25507, 1727694416622
AMZN, 187.696, 27056, 1727694476622
AMZN, 187.697, 27096, 1727694536622
AMZN, 187.695, 27556, 1727694596622
AMZN, 187.680, 33222, 1727694656622
AMZN, 187.581, 35969, 1727694716622
AMZN, 187.528, 38425, 1727694776622
AMZN, 187.519, 39634, 1727694836622
AMZN, 187.486, 43357, 1727694896622
AMZN, 187.459, 41046, 1727694956622
AMZN, 187.268, 34273, 1727695016622
AMZN, 187.215, 33736, 1727695076622
AMZN, 187.202, 32606, 1727695136622
AMZN, 187.192, 32048, 1727695196622
AMZN, 187.181, 31932, 1727695256622
AMZN, 187.161, 30998, 1727695316622
AMZN, 187.147, 30462, 1727695376622
AMZN, 187.142, 31400, 1727695436622
AMZN, 187.135, 31214, 1727695496622
AMZN, 187.118, 25549, 1727695556622
AMZN, 187.080, 21761, 1727695616622
AMZN, 187.083, 19820, 1727695676622
AMZN, 187.070, 16626, 1727695736622
AMZN, 187.053, 13936, 1727695796622
AMZN, 187.051, 13958, 1727695856622
AMZN, 187.108, 7273, 1727695916622
AMZN, 187.131, 5671, 1727695976622
AMZN, 187.120, 7519, 1727696036622
AMZN, 187.097, 8543, 1727696096622
AMZN, 187.088, 8264, 1727696156622
AMZN, 187.086, 8324, 1727696216622
AMZN, 187.081, 6930, 1727696276622
AMZN, 187.069, 6358, 1727696336622
AMZN, 187.060, 6259, 1727696396622
AMZN, 187.049, 6583, 1727696456622
AMZN, 187.044, 6744, 1727696516622
AMZN, 187.014, 7268, 1727696576624
AMZN, 187.006, 7558, 1727696636622
